Unnamed: 0,number,type,date,contact_type,short_description,content,category,subcategory,customer,resolved_at,close_notes,agent,reassigned_count,resolution_time,issue/request,software/system,output,assignment_group,item_id,role,poor_close_notes,info_score_close_notes,info_score_poor_close_notes
0,TASK0049212,Request,3/31/2021 14:13,Chat,Request for PostgreSQL upgrade to the latest version.,"I would like to request an upgrade for our PostgreSQL to the latest version in order to utilize new features and improvements. Before proceeding, please assess the impact this upgrade may have on our current projects and confirm compatibility with our existing data. Could you escalate this request to the Software Upgrade Team for me?",SOFTWARE,INSTALLATION,"Morgan, Gregory",3/31/2021 22:47,"Upgraded PostgreSQL to the latest version to access new features and improvements. Assessed the impact on current projects and verified compatibility with existing data. Confirmed backups of all databases. Followed upgrade procedures: stopped the PostgreSQL service, performed the upgrade, and restarted the service. Verified successful upgrade by running basic queries and checking for errors. Informed the user about the new features and any changes in functionalities. Upgrade completed successfully and system is functioning as expected.","Fortner, Lucas",2,514.97,PostgreSQL Upgrade Request,PostgreSQL,Software/System: PostgreSQL ; Issue/Request: PostgreSQL Upgrade Request,DBTED SUPPORT GROUP,7586,customer,See worknotes,0.8,0.0
1,INC0048604,Incident,3/27/2021 10:09,Email,ZTrend crashes unexpectedly when saving files,"User reports ZTrend crashes unexpectedly when attempting to save files. 
Performed initial diagnostics to check log files for error codes. 

Escalating to Software Maintenance Team",SOFTWARE,ERROR,"Adams, Kenneth",3/28/2021 0:45,Performed initial diagnostics to check log files for error codes. The logs indicated a corruption in the application's config files. Followed these troubleshooting steps: 1. Cleared temporary files and cache related to ZTrend. 2. Re-installed the ZTrend application to ensure a clean installation. 3. Restored default settings by renaming the config file and letting the application generate a new one upon launch. 4. Confirmed that the application no longer crashes when saving files. User was able to save multiple files without issues after these steps.,"Watson, Samuel",3,876.01,ZTrend Crashing When Saving Files,ZTrend,Software/System: ZTrend ; Issue/Request: ZTrend Crashing When Saving Files,APPLICATION SUPPORT,7287,agent,All set.,0.9,0.0
2,INC0034238,Incident,1/1/2021 15:41,Chat,Compatibility issues between CodeReview and newly upgraded OS,"Compatibility issues reported between CodeReview and the newly upgraded operating system. 
Verified software and OS versions to confirm the compatibility gap. 

Escalating to Compatibility Issues Team",SOFTWARE,MALFUNCTION,"Fischer, Noah",1/1/2021 21:12,"Resolved compatibility issues between CodeReview and the newly upgraded operating system. First, verified the current software and OS versions. Identified that CodeReview was not yet compatible with the new OS version. Escalated the issue to the Compatibility Issues Team for further investigation after confirming the incompatibility.","Fisher, Grace",0,331.32,CodeReview Compatibility Issue,CodeReview,Software/System: CodeReview ; Issue/Request: CodeReview Compatibility Issue,APPLICATION SUPPORT,104,agent,Resolved,0.7000000000000001,0.0
3,INC0068299,Incident,1/22/2021 6:45,Chat,Resolution steps for AirWave's disk space concerns,"A user submitted a ticket regarding their Aruba Networks AirWave application, which is experiencing incomplete data archival due to limited disk space. Initially, they missed some data archives which pointed towards disk space as the bottleneck. To fully rectify the issue, I am assisting the customer with setting up an automatic archiving solution with adequate monitoring in place. This will include either increasing their current disk space or setting up a routine purging process for old data. Additionally, we might explore compressing older files as a potential workaround.",SOFTWARE,ERROR,"Martin, Mia",,Identified that the AirWave application was experiencing incomplete data archival due to limited disk space. Assisted the customer in setting up an automatic archiving solution to ensure future data integrity. Discussed options for increasing the current disk space or implementing a routine purging process for older data. Explored the possibility of compressing older files as an additional workaround. Provided guidance on monitoring disk space to prevent similar issues in the future. The customer is now equipped with a plan to manage their disk space effectively. Ticket closed as the issue has been resolved and the customer is satisfied.,"West, Oliver",0,13934.15152,Insufficient disk space leading to incomplete data archival.,Aruba Networks AirWave,Software/System: Aruba Networks AirWave ; Issue/Request: Insufficient disk space leading to incomplete data archival.,,12745,agent,Ticket closed. Issue addressed.,0.8,0.0
4,INC002060,Incident,1/6/2021 15:16,Self-service,Aruba Networks AirWave not working ,"I'm currently experiencing an issue with Aruba Networks AirWave. Every time I try to use it, I keep getting an error message that says 'SQLite3.DatabaseError: database disk image is malformed'. I've tried clearing the cache and cookies, but it hasn't resolved the problem. Could you please help me fix this?",SOFTWARE,ERROR,"Stone, Isaiah",1/6/2021 23:32,"Investigated the reported issue with Aruba Networks AirWave and confirmed the error message 'SQLite3.DatabaseError: database disk image is malformed'. 
Checked the database integrity and found that the database file was indeed corrupted. 
Assisted the customer in backing up the existing database to prevent data loss. 
Replaced the corrupted database file with a clean version and restored the necessary configurations. 
Tested the application post-repair and confirmed that AirWave is now functioning correctly without any error messages. 
Provided the customer with recommendations for regular database backups and maintenance to avoid similar issues in the future. 
The customer expressed satisfaction with the resolution and is now able to use AirWave without further issues. 
Ticket closed as the problem has been resolved.","Fisher, Grace",1,29771.07712,Error - SQLite3.DatabaseError: database disk image is malformed,Aruba Networks AirWave,Software/System: Aruba Networks AirWave ; Issue/Request: Error - SQLite3.DatabaseError: database disk image is malformed,TIER 2 TEAM,8683,customer,Issue resolved. User can access Aruba Networks AirWave now.,0.9,0.1
5,TASK0043844,Request,2/26/2021 15:03,Self-service,Request for YieldMap version 4.1 installation by the project management team.,"A collective request from the project management team for YieldMap version 4.1, aiming to improve their workflow efficiency. 
Performed a review for software licensing and hardware suitability. 

This installation demand is now with the Software Implementation Group.",SOFTWARE,INSTALLATION,"Price, Christina",2/26/2021 15:17,"The project management team requested the installation of YieldMap version 4.1 to improve workflow efficiency. Conducted a review for software licensing to ensure compliance and verified hardware suitability for the new version. Confirmed that there are no conflicts or issues with existing configurations. Prepared deployment plan and coordinated with the Software Implementation Group for installation. Successfully installed YieldMap version 4.1 on all relevant systems and performed initial testing to ensure proper functionality. The team has been notified, and all systems are operational.","Lopez, Kevin",0,14.12,YieldMap Install Request,YieldMap,Software/System: YieldMap ; Issue/Request: YieldMap Install Request,APPLICATION SUPPORT,4885,agent,No further action required,0.9,0.0
6,INC0075764,Incident,2/3/2021 9:54,Chat,Slow report loading in Power BI,"Some of my reports in Power BI have become incredibly slow to load recently. This is affecting my productivity as I rely on these reports for daily updates. I haven't made significant changes to the datasets, and my internet connection seems fine. Could you look into this?",SOFTWARE,ERROR,"Peterson, Gus",,"Investigated the slow report loading issue in Power BI by reviewing the performance metrics of the affected reports. 
Checked the dataset configurations and confirmed that no significant changes had been made recently. 
Monitored the network connection and verified that the internet speed was stable and within acceptable limits. 
Identified that the reports were pulling data from multiple sources, which may have contributed to the slowdown. 
Recommended optimizing the data model by reducing the number of queries and simplifying complex calculations where possible. 
Provided the customer with tips on refreshing datasets during off-peak hours to improve loading times. 
The customer reported a noticeable improvement in report loading speed after implementing these suggestions. 
Ticket closed as the issue has been addressed and the customer is satisfied with the resolution.","Hernandez, Juan",1,14097.75212,Slow report loading,Power BI,Software/System: Power BI ; Issue/Request: Slow report loading,,12222,customer,Issue resolved. The reports should load faster now.,0.8,0.1
7,INC0093977,Incident,2/13/2021 13:25,Email,Access issues with LogRhythm,"I suspect there are misconfigured user permissions linked to my LogRhythm account, as I've observed unauthorized data access under my username in the system logs. These activities do not align with my usual usage patterns. Could someone assist in auditing and rectifying these permissions?",SOFTWARE,ERROR,"Turner, Scott",,"Access permissions for the LogRhythm account were reviewed and found to be misconfigured. 
Conducted an audit of the user permissions linked to the account, identifying unauthorized access that did not align with the user’s typical activity. 
Corrected the permissions to ensure that only authorized data access is permitted under the user’s username. 
Tested the account after adjustments were made to confirm that the access issues have been resolved. 
The user has been informed of the changes and is now able to access LogRhythm without any unauthorized data visibility. 
The customer expressed satisfaction with the resolution and confirmed that their account is functioning as expected. 
Ticket closed as the issue has been successfully addressed.","Peterson, Mia",2,2850.85798,Unauthorized access due to misconfigured user permissions.,LogRhythm SIEM,Software/System: LogRhythm SIEM ; Issue/Request: Unauthorized access due to misconfigured user permissions.,,12855,customer,Access issues with LogRhythm have been addressed. User permissions have been reviewed. No further action required.,0.8,0.2
8,INC008742,Incident,1/22/2021 6:45,Chat,HashiCorp Vault Malfunction ,"The client is unable to access HashiCorp Vault and is receiving the following error message:
['Error: ', 'Issue: ', '', '\t', '  ', '- ']'Windows Update Error 0x8024401F: Windows was unable to connect to the update server'

I cleared the cache and cookies but the error persists
Escalating to ANALYST TEAM",SOFTWARE,ERROR,"Roberts, Jason",1/22/2021 11:31,"Remoted in to investigate the issue with HashiCorp Vault access. 
Noted the error message indicating a Windows Update Error 0x8024401F, suggesting a connectivity issue with the update server. 
Cleared the cache and cookies as an initial troubleshooting step, but the error persisted. 
Escalated the ticket to the Analyst Team for further investigation and resolution. 
The Analyst Team will be able to provide more specialized support to resolve the connectivity issue. 
Ticket closed as the issue has been escalated and the customer has been informed of the next steps.","Hamilton, Elijah",2,17187.42635,Error - Windows Update Error 0x8024401F: Windows was unable to connect to the update server,HashiCorp Vault,Software/System: HashiCorp Vault ; Issue/Request: Error - Windows Update Error 0x8024401F: Windows was unable to connect to the update server,TIER 2 TEAM,9934,agent,Issue resolved. Client can access HashiCorp Vault now. No further action required.,0.6000000000000001,0.2
9,INC0036489,Incident,1/15/2021 6:09,Email,MobileManager crashes on save action,"Every time I try to save anything in MobileManager, the app just crashes. I checked through the logs but couldn't make sense of any error codes. Can you guys look into this and fix it?",SOFTWARE,MALFUNCTION,"Nelson, Angela",1/15/2021 9:08,Issue reported where MobileManager application collapses when attempting to save. Initial investigation involved reviewing log files for error codes. Log files indicated potential software malfunction. Issue escalated to the Software Maintenance Team for further resolution.,"Abbott, Ryder",1,179.95,MobileManager Crashing When Saving Files,MobileManager,Software/System: MobileManager ; Issue/Request: MobileManager Crashing When Saving Files,MOBILE SUPPORT,1234,customer,Issue resolved,0.4,0.0
